listing_id,id,date,reviewer_id,reviewer_name,comments
1354875,934680843099174591,2023-07-13,80233256,Gabri,"La estancia en casa de Ana fue buena, todo estaba limpio. Respuesta muy rápida cada vez que necesitamos algo. La ubicación buena, a 15-20 min una boca de metro. A 25 min el paseo de gracia. <br/>Tranquilo, sin ruidos.<br/>Con aire acondicionado, que en Barcelona en julio lo hemos agradecido."
715036,34473349,2015-06-08,33840569,Francesca,El piso esta bien. La posición es perfecta para moverse andando. Hay todo lo necesario muy cerca y en caso de necesitar un taxi en la calle principal pasan siempre. Lo único malo son las escaleras! Es una 5a planta de un palacio bastante viejo y no hay ascensor y la falta  de este no compárese en la descripción !! Con las maleta fue horrible . Pero lo conseguimos. <br/>L'appartamento è carino. La posizione è perfetta per muoversi a piedi. C'è tutto quello che può servire nelle vicinanze. La cosa peggiore sono le scale.  5o piano  di un palazzo piuttosto vecchio senza ascensore!!  La mancanza dell'ascensore non  appare da nessuna parte. Con le valige è stato orribile ma ce l'abbiamo fatta.
715036,49429030,2015-10-04,2191316,Stuart,"Gracias por la muy buena acogida, los consejos y la flexibilidad cuando sufrimos un pequeño retraso a la hora de llegar."
715036,57777239,2015-12-29,9398824,Nicolas,"Olor desagradable de cigarrillos para los no fumadores
<br/>Barrio muy ruidoso.
<br/>5 pisos de altura a pie
<br/>Pero
<br/>Apartamento bien situado, bien equipado
<br/>Buena ropa de cama
<br/>Muy bienvenidos
<br/>Buena relación calidad-precio"
1354875,992571515568123460,2023-10-01,37224958,Rodrigo,"Muy lindo apto en el barrio de gracia, todo coincidía con la descripción! Recomendado"
1354875,995528129721050142,2023-10-05,299067055,Dante,Bien ubicado y el piso muy bien organizado y cómodo. Los anfitriones brindaron facilidades y fueron muy atentos
1354875,1116536422988438163,2024-03-20,227995852,Florencia,"el departamento está bien equipado y completo. es cómodo.<br/>no me gustó la ubicación, la zona está alejada de los medios de transporte (al menos 800mts  para un bus) y también de las zonas turísticas. Si bien nos dijeron que es una zona residencial,  no me sentí cómoda respecto de la ubicación"
1354875,1128105795486873086,2024-04-05,299067055,Dante,"Lugar cómodo, cerca a todo, limpio y seguro. Segunda vez que nos hospedamos ahí y nos sigue gustando. Hay una terraza muy agradable. Así mismo siempre están pendientes de nosotros."
1354875,1142582762421983380,2024-04-25,565871423,Diana,Ha sido muy agradable y cómodo alojarme en la casa. Cuenta con todo lo que describe.
1354875,1218704288070228754,2024-08-08,391273395,Juan Pablo,"Alojamiento ideal para tres personas en un lugar agradable para visitar y conocer. <br/>El anfitrión se mostró cálido y agradable, nos recibió personalmente y nos brindó instrucciones claras.<br/>Recomiendo el alojamiento, sin embargo, nos cobraron una ""comisión turística municipal extra"" de 5.5€ por persona cada noche."
1354875,1322373116046369205,2024-12-29,348225261,Maria Consolacion,"Apartamento más pequeño de lo que parece, antiguo y con pocas comodidades. Polvo en suelo. Camas poco cómodas, con mantas y sabanas viejas. Creo que debería cuidar estos detalles, Ya que el apartamento es muy viejo."
1354875,1336225438516494904,2025-01-17,18086419,Pierre François,"El alojamiento es conforme a su descripción, con una excelente ubicación y una comunicación fácil con Rodolfo. El apartamento es limpio y espacioso, y el patio es un punto muy positivo.<br/>Quizás, para el precio del alquiler, sería ideal incluir algunos esenciales para cocinar, como sal, aceite, etc. (por ejemplo, había solo una taza de café y no había champú). Son pequeños detalles que, aunque no son indispensables, marcan la diferencia en la experiencia.<br/>Aun así, recomiendo el alojamiento. 😊"
1354875,1352132553292346691,2025-02-08,666227609,Isabel,Un lugar accesible y bien conectado
1354875,1392633338344510609,2025-04-05,165881818,Martin,"Excelente apartamento en primer piso por escalera. La ubicación era fantástica, rara vez tomamos transporte.<br/>los anfitriones muy atentos y dispuestos a solucionar cualquier inconveniente.<br/>Recomiendo, gran experiencia."
1354875,1403578108597312344,2025-04-20,194199684,Luz Marina,"El lugar de Gimena necesita algunas mejoras, pero estuvo bien para nuestra corta estadia. Gracias por todo."
1354875,1489863750980323188,2025-08-17,11878754,Lina And Daniel,"Rodolfo nos recibió amablemente en la puerta y nos mostró el departamento.  Nuestra estancia fue muy buena, la cocina cuenta con todo lo necesario para cocinar, el baño completo y hasta había jabón para que lavemos nuestra ropa! La ubicación también es muy buena. Volvería. <br/>El único detalle para mencionar es que el piso del comedor es algo ruidoso, pero se nota que son maderas antiguas por lo que es comprensible que crujan."
715036,74472497,2016-05-15,24761511,Carol,"Departamento amplio muy cómodo, cerca de las ramblas y en frente tienen un supermercado <br/>Monserrat estuvo pendiente de nuestro viaje y estadía "
715036,130663854,2017-02-07,36012337,Camilo,"El lugar es maravilloso, es la primera vez de mis padres en Barcelona y están seguros que siempre que vuelvan a la ciudad, será para quedarse en el apto de Monserrat. "
32711,246406654,2018-03-25,179604437,Axel,"Buena zona, todo limpio, muy bien calidad vs precio"
32711,311788399,2018-08-22,209431544,Diana Marcela,El piso de Nick es genial. Sales al balcón y  ¡boom!: la Sagrada Familia. Excelente ubicación difícil de mejorar. <br/>El alojamiento estaba limpio y en buenas condiciones. Todo estaba correcto y es muy probable que repitamos en una próxima visita a la ciudad.<br/>Recomendable sin duda.<br/>Diana y Josué
32711,424820062,2019-03-17,158891443,Marimar,"Magnifica localización y hospitalidad, precio muy bueno"
32711,588269671,2020-01-04,316064676,Christophe,Tres proche de la Sagrada Família
32711,683839675777229310,2022-08-01,327884989,Juan,Un alojamiento con una ubicación excelente que cuenta con todo lo necesario para pasar unos días. Nick es muy atento!
32711,759995611781354379,2022-11-14,450598936,Rebeca,"PRECIOSO, es un lugar hermoso, y la atención fue estupenda, Nick es una gran persona super recomendado el lugar."
32711,803515345734686751,2023-01-13,435775612,Braulio,muy bueno todo
32711,814334483683649511,2023-01-28,159501001,Javiera,"Nick es un excelente anfitrión y atento a las necesidades de sus huéspedes. Estuvo disponible cuando tuvimos cambios de planes inesperados. Nos recibió con todos los elementos de servicios básicos para la estadía, tales como, té, azúcar, artículos de limpieza, entre otros. El departamento es espacioso, muy cerca del Metro y con la maravillosa vista de la Sagrada Familia desde el balcón. Sin duda volvería a contactar a Nick la próxima visita a Barcelona!"
32711,833185967957419751,2023-02-23,268658852,Luisa,"Excelente anfitrión, el lugar ubicado y tiene todo muy cerca. Excelente atención, sin duda regresaría. Nos ha encantado el lugar"
32711,835380719638348610,2023-02-26,97283267,Camila,"El departamento es bastante silencioso, se logra descansar bien."
32711,971554234516933410,2023-09-02,15787091,Hector,Excelente departamento sobre todo la ubicación
32711,1047044477215295909,2023-12-15,29780448,Jacobo,"El piso estaba sucio y no coincide con las fotografías publicadas. Interruptores rotos, pomos de puertas rotos, el a/a no funciona bien, olía raro , cuarto de baño con suciedad en el techo"
32711,1052798624970474131,2023-12-23,340991573,Jose,exelente ubicación y muy limpio
